	masa A						
t	x	y	vx	vy	v	θ	
0.000	-0.102	-4.767E-2				-155.1
0.033	-5.223E-2	-0.125	2.101	-0.834	2.260	-112.6
0.067	3.759E-2	-0.103	2.090	1.382	2.505	-70.0
0.100	8.707E-2	-3.320E-2	0.902	2.101	2.286	-20.9
0.133	9.772E-2	3.683E-2	-0.514	1.987	2.052	20.6
0.167	5.281E-2	9.925E-2	-2.227	0.422	2.266	62.0
0.200	-5.071E-2	6.499E-2	-2.204	-2.569	3.385	128.0
0.233	-9.410E-2	-7.203E-2	0.445	-2.820	2.855	217.4
0.267	-2.103E-2	-0.123	2.306	-0.126	2.310	260.3
0.300	5.966E-2	-8.040E-2	1.770	1.701	2.455	306.6
0.333	9.696E-2	-9.606E-3	0.491	2.090	2.146	354.3
0.367	9.240E-2	5.890E-2	-1.256	1.610	2.042	392.5
0.400	1.323E-2	9.772E-2	-2.695	-0.697	2.783	442.3
0.433	-8.725E-2	1.247E-2	-1.245	-3.140	3.378	531.9
0.467	-6.974E-2	-0.112	1.599	-1.861	2.453	598.0
0.500	1.932E-2	-0.112	2.249	0.868	2.411	639.8
0.533	8.022E-2	-5.376E-2	1.199	1.987	2.320	686.2
0.567	9.925E-2	2.084E-2	-0.114	2.055	2.058	731.9
0.600	7.260E-2	8.326E-2	-1.838	0.982	2.084	768.9
0.633	-2.331E-2	8.631E-2	-2.569	-1.724	3.094	825.1
0.667	-9.867E-2	-3.168E-2	-0.331	-3.083	3.101	917.8
0.700	-4.538E-2	-0.119	2.044	-1.028	2.288	969.2
0.733	3.759E-2	-0.100	2.044	1.347	2.448	1010.6
0.767	9.087E-2	-2.940E-2	0.879	2.181	2.351	1062.1
0.800	9.620E-2	4.520E-2	-0.617	1.918	2.015	1105.2
0.833	4.977E-2	9.849E-2	-2.295	0.160	2.301	1143.2
0.867	-5.680E-2	5.586E-2	-2.181	-2.660	3.440	1215.5
0.900	-9.562E-2	-7.888E-2	0.662	-2.740	2.819	1299.5
0.933	-1.265E-2	-0.127	2.375	-3.425E-2	2.375	1344.3
0.967	6.271E-2	-8.116E-2	1.656	1.747	2.407	1387.7
1.000	9.772E-2	-1.037E-2	0.365	2.169	2.200	1433.9
1.033	8.707E-2	6.347E-2	-1.359	1.564	2.072	1476.1
1.067	7.140E-3	9.392E-2	-2.615	-0.822	2.741	1525.7
1.100	-8.725E-2	8.663E-3	-1.245	-3.037	3.282	1614.3
1.133	-7.583E-2	-0.109	1.507	-1.873	2.404	1675.1
