	masa A						
t	x	y	vx	vy	v	θ	
0.000	-7.425E-2	-2.301E-2				-162.8
0.033	0.107	-5.752E-3	-9.412E-2	0.424	0.434	-3.1
0.067	-8.053E-2	5.229E-3	-7.844E-2	-0.361	0.369	176.3
0.100	0.102	-2.981E-2	0.000	0.149	0.149	343.7
0.133	-8.053E-2	1.516E-2	-7.844E-3	0.000	7.844E-3	169.3
0.167	0.101	-2.981E-2	0.000	-0.173	0.173	343.6
0.200	-8.053E-2	3.660E-3	2.353E-2	0.259	0.260	177.4
0.233	0.103	-1.255E-2	7.059E-2	-0.376	0.383	353.1
0.267	-7.582E-2	-2.144E-2	-8.628E-2	0.557	0.564	195.8
0.300	9.726E-2	2.458E-2	0.173	-0.455	0.487	374.2
0.334	-6.432E-2	-5.177E-2	-0.267	0.784	0.828	218.8
0.367	7.948E-2	7.687E-2	0.361	-0.392	0.533	44.0
0.400	-4.026E-2	-7.791E-2	-0.769	0.612	0.982	-117.3
0.434	2.824E-2	0.118	0.353	-0.267	0.442	-283.5
0.467	-1.673E-2	-9.569E-2	-0.526	0.212	0.567	-459.9
0.500	-6.798E-3	0.132	0.243	-0.110	0.267	-627.0
0.534	-5.229E-4	-0.103	-7.844E-3	0.102	0.102	-450.3
0.567	-7.321E-3	0.139	-0.251	7.059E-2	0.261	-627.0
0.600	-1.726E-2	-9.831E-2	0.392	-0.204	0.442	-460.0
0.634	1.882E-2	0.125	0.149	0.212	0.259	-638.6
0.667	-7.321E-3	-8.419E-2	-0.188	0.110	0.218	-815.0
0.700	6.275E-3	0.132	-0.551	6.122E-2	0.554	-992.7
0.734	-4.497E-2	-8.001E-2	0.681	-0.268	0.732	-839.3
0.767	5.281E-2	0.114	-7.844E-3	0.298	0.298	-1014.9
0.800	-4.549E-2	-6.013E-2	0.980	-0.369	1.047	-847.1
0.834	0.118	8.942E-2	-0.431	0.533	0.686	-682.9
0.867	-7.425E-2	-2.458E-2	-0.188	-1.043	1.060	-521.7
0.901	0.106	1.987E-2	-0.416	0.533	0.676	-349.3
0.934	-0.102	1.098E-2	-0.345	-1.090	1.144	-186.1
0.967	8.262E-2	-5.281E-2	0.235	0.824	0.857	-32.6
1.001	-8.628E-2	6.589E-2	-0.439	-0.659	0.792	142.6
1.034	5.334E-2	-9.674E-2	1.161	0.839	1.432	298.9
1.067	-8.889E-3	0.122	-0.824	0.133	0.834	454.2
1.101	-1.569E-3	-8.785E-2	1.530	-0.275	1.554	629.0
1.134	9.308E-2	0.104	-1.051	0.808	1.326	768.0
1.167	-7.164E-2	-3.399E-2	0.220	-1.804	1.817	925.4
1.201	0.108	-1.673E-2	-0.408	1.318	1.379	1071.2
1.234	-9.883E-2	5.386E-2	-1.169	-1.200	1.675	1231.4
